"","order","family_w_n","family","scientific_name","coastal_fish","avr_identity","avr_lod","water_area","habitat","depth_s","depth_d"
"Taxa0598","Perciformes","447_Blenniidae","Blenniidae","Istiblennius enosimae","C","99.99","MODERATE",NA,NA,NA,NA
"Taxa0479","Perciformes","391_Kyphosidae","Kyphosidae","Girella punctata","C","100","HIGH","S","reef-associated",NA,NA
"Taxa0849","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Takifugu niphobles","C","99.66","LOW","S","demersal",NA,NA
"Taxa0045","Clupeiformes","095_Engraulidae","Engraulidae","Engraulis japonicus","C","99.97","HIGH","S","pelagic-neritic",0,400
"Taxa0752","Perciformes","467_Siganidae","Siganidae","Siganus fuscescens","C","100","LOW","BS","reef-associated",1,50
"Taxa0207","Atheriniformes","251_Atherinidae","Atherinidae","Atherion elymus","C","100","HIGH","S","reef-associated",0,3
"Taxa0584","Perciformes","445_Tripterygiidae","Tripterygiidae","Enneapterygius etheostomus","C","99.97","HIGH","S","demersal",0,21
"Taxa0664","Perciformes","460_Gobiidae","Gobiidae","Chaenogobius annularis","C","99.99","HIGH","F","demersal",NA,NA
"Taxa0544","Perciformes","412_Labridae","Labridae","Thalassoma cupido","C","100","HIGH","S","demersal",NA,NA
"Taxa0201","Mugiliformes","245_Mugilidae","Mugilidae","Mugil cephalus","C","99.98","HIGH","FBS","benthopelagic",0,120
"Taxa0451","Perciformes","378_Sparidae","Sparidae","Acanthopagrus schlegelii","C","100","LOW","BS","demersal",15,NA
"Taxa0053","Clupeiformes","097_Clupeidae","Clupeidae","Sardinops melanostictus","C","99.98","LOW",NA,NA,NA,NA
"Taxa0477","Perciformes","391_Kyphosidae","Kyphosidae","Girella leonina","C","100","HIGH","S","reef-associated",1,15
"Taxa0020","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax kidako","C","99.98","HIGH","S","reef-associated",2,350
"Taxa0594","Perciformes","447_Blenniidae","Blenniidae","Entomacrodus stellifer stellifer","C","100","HIGH","S","reef-associated",NA,NA
"Taxa0336","Perciformes","332_Moronidae","Moronidae","Lateolabrax japonicus","C","99.99","HIGH","FBS","reef-associated",5,NA
"Taxa0324","Scorpaeniformes","320_Cottidae","Cottidae","Pseudoblennius marmoratus","C","99.99","HIGH","S","demersal",NA,NA
"Taxa0765","Perciformes","470_Acanthuridae","Acanthuridae","Prionurus scalprum","C","99.98","HIGH","S","reef-associated",NA,NA
"Taxa0204","Atheriniformes","247_Notocheiridae","Notocheiridae","Iso flosmaris","C","99.99","HIGH","S","demersal",NA,NA
"Taxa0208","Atheriniformes","251_Atherinidae","Atherinidae","Hypoatherina tsurugae","C","99.99","HIGH","S","pelagic-neritic",NA,NA
"Taxa0054","Clupeiformes","097_Clupeidae","Clupeidae","Spratelloides gracilis","C","100","HIGH","S","pelagic-neritic",NA,40
"Taxa0419","Perciformes","364_Carangidae","Carangidae","Trachurus japonicus","C","99.98-100","LOW-MODERATE","BS","pelagic-oceanic",0,1050
"Taxa0601","Perciformes","447_Blenniidae","Blenniidae","Parablennius yatabei","C","99.97","HIGH","S","demersal",NA,NA
"Taxa0780","Perciformes","475_Scombridae","Scombridae","Scomber spp.","C","99.98","LOW","S","pelagic-neritic",87,200
"Taxa0510","Perciformes","410_Embiotocidae","Embiotocidae","Ditrema temminckii temminckii","C","100","LOW",NA,NA,NA,NA
"Taxa0665","Perciformes","460_Gobiidae","Gobiidae","Chaenogobius gulosus","C","99.99","HIGH","BS","demersal",0,2
"Taxa0049","Clupeiformes","097_Clupeidae","Clupeidae","Etrumeus teres","C","99.98","MODERATE",NA,NA,NA,NA
"Taxa0286","Scorpaeniformes","304_Scorpaenidae","Scorpaenidae","Sebastes spp.","C","99.4-100","LOW-MODERATE","S","demersal",9,600
"Taxa0558","Perciformes","417_Stichaeidae","Stichaeidae","Dictyosoma rubrimaculatum","C","99.97","HIGH","S","reef-associated",NA,NA
"Taxa0616","Perciformes","450_Chaenopsidae","Chaenopsidae","Neoclinus bryope","C","100","HIGH","S","demersal",NA,NA
"Taxa0658","Perciformes","460_Gobiidae","Gobiidae","Bathygobius fuscus","C","99.99","HIGH","FBS","reef-associated",0,6
"Taxa0599","Perciformes","447_Blenniidae","Blenniidae","Omobranchus elegans","C","99.99","HIGH","S","demersal",NA,NA
"Taxa0209","Atheriniformes","251_Atherinidae","Atherinidae","Hypoatherina valenciennei","C","100","MODERATE","BS","pelagic-neritic",NA,NA
"Taxa0505","Perciformes","405_Cheilodactylidae","Cheilodactylidae","Cheilodactylus zonatus","C","99.98","LOW","S","benthopelagic",NA,NA
"Taxa0311","Scorpaeniformes","316_Hexagrammidae","Hexagrammidae","Hexagrammos otakii・H. agrammus","C","99.99-100","LOW-MODERATE","S","demersal",NA,NA
"Taxa0480","Perciformes","391_Kyphosidae","Kyphosidae","Kyphosus bigibbus","C","99.99","HIGH","S","reef-associated",2,NA
"Taxa0562","Perciformes","417_Stichaeidae","Stichaeidae","Zoarchias neglectus","C","100","HIGH","S","demersal",NA,NA
"Taxa0523","Perciformes","411_Pomacentridae","Pomacentridae","Pomacentrus caeruleopunctatus","C","99.99","LOW","S","reef-associated",7,10
"Taxa0673","Perciformes","460_Gobiidae","Gobiidae","Eviota abax","C","99.99","HIGH","S","reef-associated",NA,NA
"Taxa0218","Beloniformes","253_Exocoetidae","Exocoetidae","Cypselurus heterurus doederleini","C","99.99","LOW",NA,NA,NA,NA
"Taxa0438","Perciformes","374_Haemulidae","Haemulidae","Parapristipoma trilineatum","C","99.98","HIGH","S","benthopelagic",NA,NA
"Taxa0337","Perciformes","332_Moronidae","Moronidae","Lateolabrax latus","C","99.98","HIGH","S","demersal",NA,NA
"Taxa0325","Scorpaeniformes","320_Cottidae","Cottidae","Pseudoblennius percoides","C","100","HIGH","S","demersal",NA,NA
"Taxa0848","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Takifugu fasciatus","C","99.99","LOW",NA,NA,NA,NA
"Taxa0498","Perciformes","401_Oplegnathidae","Oplegnathidae","Oplegnathus fasciatus","C","99.99","HIGH","S","reef-associated",1,10
"Taxa0050","Clupeiformes","097_Clupeidae","Clupeidae","Konosirus punctatus","C","99.97","HIGH","BS","pelagic-neritic",NA,NA
"Taxa0708","Perciformes","460_Gobiidae","Gobiidae","Pterogobius elapoides","C","99.99","LOW","S","demersal",NA,NA
"Taxa0476","Perciformes","383_Pempheridae","Pempheridae","Pempheris schwenkii","C","99.99","LOW","S","reef-associated",5,40
"Taxa0852","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Takifugu stictonotus","C","100","LOW","S","demersal",NA,NA
